Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Caller","?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QAEXH_N@Z","std::operator<<<std::char_traits<char> >",76,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Root","?SetUserInitialization@G4RunManager@@UAEXPAVG4VUserActionInitialization@@@Z","?SetUserInitialization@G4RunManager@@UAEXPAVG4VUserActionInitialization@@@Z",1,0.00,0.00,0.94,0.00,"G4run.dll",
"Caller","?SetUserInitialization@G4RunManager@@UAEXPAVG4VUserActionInitialization@@@Z","main",1,0.00,0.00,0.94,0.00,"Hadr04.exe",
"Callee","?SetUserInitialization@G4RunManager@@UAEXPAVG4VUserActionInitialization@@@Z","ActionInitialization::Build",1,0.00,0.00,0.94,0.01,"Hadr04.exe",
"Root","?SetUserInitialization@G4RunManager@@UAEXPAVG4VUserPhysicsList@@@Z","?SetUserInitialization@G4RunManager@@UAEXPAVG4VUserPhysicsList@@@Z",1,0.00,0.00,2.64,0.03,"G4run.dll",
"Caller","?SetUserInitialization@G4RunManager@@UAEXPAVG4VUserPhysicsList@@@Z","main",1,0.00,0.00,2.64,0.03,"Hadr04.exe",
"Callee","?SetUserInitialization@G4RunManager@@UAEXPAVG4VUserPhysicsList@@@Z","PhysicsList::ConstructParticle",1,0.00,0.00,2.62,2.62,"Hadr04.exe",
"Root","?setw@std@@YA?AU?$_Smanip@_J@1@_J@Z","?setw@std@@YA?AU?$_Smanip@_J@1@_J@Z",24,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"Caller","?setw@std@@YA?AU?$_Smanip@_J@1@_J@Z","Run::EndOfRun",24,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Root","?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHD@Z","?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHD@Z",68,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"Caller","?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHD@Z","std::operator<<<char,std::char_traits<char>,std::allocator<char> >",68,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Root","?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z","?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z",90,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"Caller","?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z","std::operator<<<char,std::char_traits<char>,std::allocator<char> >",14,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Caller","?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z","std::operator<<<std::char_traits<char> >",76,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Root","?uncaught_exception@std@@YA_NXZ","?uncaught_exception@std@@YA_NXZ",90,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"Caller","?uncaught_exception@std@@YA_NXZ","std::operator<<<char,std::char_traits<char>,std::allocator<char> >",14,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Caller","?uncaught_exception@std@@YA_NXZ","std::operator<<<std::char_traits<char> >",76,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Root","?widen@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEDD@Z","?widen@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEDD@Z",14,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"Caller","?widen@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEDD@Z","std::endl<char,std::char_traits<char> >",14,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Root","[G4analysis.dll]","[G4analysis.dll]",1,0.00,0.00,0.24,0.24,"G4analysis.dll",
"Caller","[G4analysis.dll]","HistoManager::~HistoManager",1,0.00,0.00,0.24,0.24,"Hadr04.exe",
"Root","[G4event.dll]","[G4event.dll]",1,0.00,0.00,0.03,0.03,"G4event.dll",
"Caller","[G4event.dll]","PrimaryGeneratorAction::~PrimaryGeneratorAction",1,0.00,0.00,0.03,0.03,"Hadr04.exe",
"Root","[G4global.dll]","[G4global.dll]",90,0.00,0.00,0.00,0.00,"G4global.dll",
"Caller","[G4global.dll]","std::operator<<<char,std::char_traits<char>,std::allocator<char> >",14,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Caller","[G4global.dll]","std::operator<<<std::char_traits<char> >",76,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Root","[G4global.dll]","[G4global.dll]",90,0.00,0.00,0.00,0.00,"G4global.dll",
"Caller","[G4global.dll]","std::operator<<<char,std::char_traits<char>,std::allocator<char> >",14,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Caller","[G4global.dll]","std::operator<<<std::char_traits<char> >",76,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Root","[G4intercoms.dll]","[G4intercoms.dll]",7,0.00,0.00,0.00,0.00,"G4intercoms.dll",
"Caller","[G4intercoms.dll]","DetectorMessenger::~DetectorMessenger",5,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Caller","[G4intercoms.dll]","NeutronHPMessenger::~NeutronHPMessenger",2,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Root","[G4run.dll]","[G4run.dll]",1,0.01,0.01,38.72,37.40,"G4run.dll",
"Caller","[G4run.dll]","main",1,0.01,0.01,38.72,37.40,"Hadr04.exe",
"Callee","[G4run.dll]","ActionInitialization::`scalar deleting destructor'",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
