Type,Unique ID,ID,Name,Begin Time,End Time,Life Time,
"Process",0,2252,"Hadr04.exe",363.05,"367,978.14","367,615.09",
"Thread",0,1044,"Unnamed thread",363.17,"367,978.06","367,614.89",
