Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'HepRandomGenActive'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'meter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'meter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'meter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'elm_coupling'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilogram'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'meter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'meter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'centimeter3'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'epsilon0'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'twopi_mc2_rcl2'',1,0,0,0,0,Hadr04.exe
3,CLHEP::`dynamic initializer for 'kilometer3'',1,0,0,0,0,Hadr04.exe
