Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Run::Run",1,0.00,0.00,0.01,0.01,"Hadr04.exe",
"RunAction::GenerateRun",1,0.00,0.00,0.01,0.01,"Hadr04.exe",
"DetectorConstruction::SetMaterial",2,0.00,0.00,0.00,0.00,"Hadr04.exe",
"?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ",90,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"NeutronHPphysics::NeutronHPphysics",1,0.00,0.00,0.01,0.01,"Hadr04.exe",
"?uncaught_exception@std@@YA_NXZ",90,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"CLHEP::`dynamic initializer for 'meter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"?widen@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEDD@Z",14,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy",34,0.00,0.00,0.00,0.00,"Hadr04.exe",
"SteppingVerbose::SteppingVerbose",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"[G4global.dll]",90,0.00,0.00,0.00,0.00,"G4global.dll",
"Run::~Run",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z",14,0.02,0.00,6.14,0.00,"MSVCP120.dll",
"?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QAEXH_N@Z",90,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"?put@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@D@Z",14,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHD@Z",68,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"[G4global.dll]",90,0.00,0.00,0.00,0.00,"G4global.dll",
"G4UIcommand::SetGuidance",8,0.00,0.00,0.00,0.00,"Hadr04.exe",
"??1G4VModularPhysicsList@@UAE@XZ",1,0.00,0.00,0.01,0.00,"Hadr04.exe",
"HistoManager::~HistoManager",1,0.00,0.00,0.25,0.00,"Hadr04.exe",
"`dynamic initializer for 'IncidentEnergyBins''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::_Tree<std::_Tmap_traits<G4String,int,std::less<G4String>,std::allocator<std::pair<G4String const ,int> >,0> >::_Erase",5,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::_Tree<std::_Tmap_traits<G4String,Run::ParticleData,std::less<G4String>,std::allocator<std::pair<G4String const ,Run::ParticleData> >,0> >::_Erase",10,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::_Tree_alloc<0,std::_Tree_base_types<std::pair<G4String const ,int>,std::allocator<std::pair<G4String const ,int> > > >::_Buyheadnode",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::vector<G4VCrossSectionDataSet *,std::allocator<G4VCrossSectionDataSet *> >::_Reallocate",5,0.00,0.00,0.00,0.00,"Hadr04.exe",
"RtlEncodePointer",1,0.00,0.00,0.00,0.00,"ntdll.dll",
"__SEH_prolog4",49,0.00,0.00,0.00,0.00,"Hadr04.exe",
"?SetNumberOfEventToBeProcessed@G4Run@@QAEXH@Z",1,0.00,0.00,0.00,0.00,"G4run.dll",
"std::vector<yystype,std::allocator<yystype> >::_Reallocate",5,0.00,0.00,0.00,0.00,"Hadr04.exe",
"?setw@std@@YA?AU?$_Smanip@_J@1@_J@Z",24,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"RunAction::~RunAction",1,0.00,0.00,0.25,0.00,"Hadr04.exe",
"__SEH_epilog4",48,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::vector<G4String,std::allocator<G4String> >::_Reallocate",8,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::endl<char,std::char_traits<char> >",14,0.02,0.00,6.14,0.00,"Hadr04.exe",
"[MSVCP120.dll]",24,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"NeutronHPMessenger::~NeutronHPMessenger",1,0.00,0.00,0.01,0.00,"Hadr04.exe",
"std::_Tree_buy<std::pair<G4String const ,int>,std::allocator<std::pair<G4String const ,int> > >::_Buynode0",3,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::_Tree_buy<std::pair<G4String const ,Run::ParticleData>,std::allocator<std::pair<G4String const ,Run::ParticleData> > >::_Buynode0",8,0.00,0.00,0.00,0.00,"Hadr04.exe",
"DetectorConstruction::~DetectorConstruction",1,0.00,0.00,0.01,0.00,"Hadr04.exe",
"DetectorMessenger::`scalar deleting destructor'",1,0.00,0.00,0.01,0.00,"Hadr04.exe",
"memmove",10,0.00,0.00,0.00,0.00,"MSVCR120.dll",
"TrackingAction::TrackingAction",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::map<G4String,Run::ParticleData,std::less<G4String>,std::allocator<std::pair<G4String const ,Run::ParticleData> > >::operator[]",8,0.00,0.00,0.00,0.00,"Hadr04.exe",
"NeutronHPMessenger::SetNewValue",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"ActionInitialization::`scalar deleting destructor'",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"DetectorMessenger::~DetectorMessenger",1,0.00,0.00,0.01,0.00,"Hadr04.exe",
"std::_Tree<std::_Tmap_traits<G4String,int,std::less<G4String>,std::allocator<std::pair<G4String const ,int> >,0> >::_Insert_at<std::pair<G4String const ,int> &,std::_Tree_node<std::pair<G4String const ,int>,void *> *>",3,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::_Tree_alloc<0,std::_Tree_base_types<std::pair<G4String const ,Run::ParticleData>,std::allocator<std::pair<G4String const ,Run::ParticleData> > > >::_Buyheadnode",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"NeutronHPphysics::~NeutronHPphysics",1,0.00,0.00,0.01,0.00,"Hadr04.exe",
"std::_Tree<std::_Tmap_traits<G4String,Run::ParticleData,std::less<G4String>,std::allocator<std::pair<G4String const ,Run::ParticleData> >,0> >::_Insert_at<std::pair<G4String const ,Run::ParticleData> &,std::_Tree_node<std::pair<G4String const ,Run::ParticleData>,void *> *>",8,0.00,0.00,0.00,0.00,"Hadr04.exe",
"atexit",46,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'HepRandomGenActive''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"`eh vector destructor iterator'",4,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::_Tree<std::_Tmap_traits<G4String,Run::ParticleData,std::less<G4String>,std::allocator<std::pair<G4String const ,Run::ParticleData> >,0> >::_Insert_hint<std::pair<G4String const ,Run::ParticleData> &,std::_Tree_node<std::pair<G4String const ,Run::ParticleData>,void *> *>",8,0.00,0.00,0.00,0.00,"Hadr04.exe",
"PrimaryGeneratorAction::~PrimaryGeneratorAction",1,0.00,0.00,0.03,0.00,"Hadr04.exe",
"StackingAction::`scalar deleting destructor'",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::vector<G4VCrossSectionDataSet *,std::allocator<G4VCrossSectionDataSet *> >::_Reserve",5,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::_Tree_buy<std::pair<G4String const ,int>,std::allocator<std::pair<G4String const ,int> > >::_Buynode<std::piecewise_construct_t const &,std::tuple<G4String const &>,std::tuple<> >",3,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::vector<G4UIparameter *,std::allocator<G4UIparameter *> >::_Reallocate",5,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::vector<G4String,std::allocator<G4String> >::_Reserve",8,0.00,0.00,0.00,0.00,"Hadr04.exe",
"G4String::~G4String",16,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Run::`scalar deleting destructor'",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::_Tree<std::_Tmap_traits<G4String,Run::ParticleData,std::less<G4String>,std::allocator<std::pair<G4String const ,Run::ParticleData> >,0> >::erase",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::vector<G4VCrossSectionDataSet *,std::allocator<G4VCrossSectionDataSet *> >::push_back",5,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<G4String const ,Run::ParticleData> > >,std::_Iterator_base0>::operator--",5,0.00,0.00,0.00,0.00,"Hadr04.exe",
"_setdefaultprecision",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
